IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH
AR,512,1408,1070,NAP CABASE - Mendoza (NAP CABASE - Mendoza),CABASE IXP Mendoza,CABASE-MZA - IX Argentina (Mendoza),Mendoza,South America,2015-04-16T00:00:00Z,20111020,0000-00-00,2019-06-18T12:12:06Z,http://www.cabase.org.ar/,,
AR,602,1823,1071,NAP CABASE - Puerto Madryn (NAP CABASE - Puerto Madryn),CABASE IXP Puerto Madryn,CABASE-PMY - IX Argentina (Puerto Madryn),Puerto Madryn,South America,2015-04-16T00:00:00Z,20141030,0000-00-00,2019-06-18T22:26:16Z,http://www.cabase.org.ar/,,
AR,515,1410,1072,NAP CABASE - Santa Fe (NAP CABASE - Santa Fe),CABASE IXP Santa Fe,CABASE-SFE - IX Argentina (Santa Fe),Santa Fe,South America,2015-04-16T00:00:00Z,20111122,0000-00-00,2019-06-18T22:26:46Z,http://www.cabase.org.ar/,,
AR,623,1938,1480,NAP CABASE - Junin (NAP CABASE - Junin),CABASE IXP Junin,CABASE-JUN - IX Argentina (Junin),Junin,South America,2016-10-14T18:14:09Z,20150327,0000-00-00,2019-06-17T09:09:14Z,http://www.cabase.org.ar,,
AR,626,1937,1481,NAP CABASE - San Luis (NAP CABASE - San Luis),CABASE IXP San Luis,CABASE-SLU - IX Argentina (San Luis),San Luis,South America,2016-10-14T18:14:52Z,20141014,0000-00-00,2019-06-18T22:24:52Z,http://www.cabase.org.ar,http://www.cabase.org.ar,
AR,625,1939,1482,NAP CABASE - Pergamino (NAP CABASE - Pergamino),CABASE IXP Pergamino,CABASE-PER - IX Argentina (Pergamino),Pergamino,South America,2016-10-14T18:15:32Z,20151125,0000-00-00,2019-06-18T22:25:20Z,http://www.cabase.org.ar,,
AR,628,1940,1483,NAP CABASE - San Miguel de Tucumán (NAP CABASE - San Miguel de Tucumán),CABASE IXP Tucuman,CABASE-TUC - IX Argentina (Tucuman),Tucuman,South America,2016-10-14T18:16:11Z,20151124,0000-00-00,2019-06-18T22:23:10Z,http://www.cabase.org.ar,,
AR,795,1942,1484,CABASE-NGB - IX Argentina (Pilar),CABASE IXP Norte de Gran Buenos Aires,CABASE-NGB - IX Argentina (Pilar),Pilar,South America,2016-10-14T18:16:58Z,20160419,0000-00-00,2019-06-18T22:43:06Z,http://www.cabase.org.ar,http://www.cabase.org.ar,
AR,627,1941,1485,NAP CABASE - Saenz Pe??a (NAP CABASE - Saenz Pe??a),CABASE IXP Saenz Pe??a,CABASE-SZP - IX Argentina (Saenz Pe??a),Saenz Pe??a  Chaco,South America,2016-10-14T18:17:51Z,20160426,0000-00-00,2019-06-18T22:23:53Z,http://www.cabase.org.ar,,
AR,622,1822,1487,NAP CABASE - Bariloche (NAP CABASE - Bariloche),CABASE IXP Bariloche,CABASE-BRC - IX Argentina (Bariloche),Bariloche,South America,2016-10-14T18:19:22Z,20140915,0000-00-00,2019-06-18T12:20:05Z,http://www.cabase.org.ar,,
AR,629,1943,1764,NAP CABASE - San Salvador de Jujuy (NAP CABASE - San Salvador de Jujuy),CABASE IXP Jujuy,CABASE-JUJ - IX Argentina (Jujuy),San Salvador de Jujuy,South America,2017-06-06T14:12:21Z,20160322,0000-00-00,2019-06-18T12:21:08Z,http://www.cabase.org.ar,,
BR,215,29,119,Equinix S??o Paulo,Equinix S??o Paulo,Equinix S??o Paulo,S??o Paulo,South America,2010-07-29T00:00:00Z,19980000,0000-00-00,2019-06-06T21:26:27Z,https://www.equinix.com,https://ix.equinix.com,
CL,674,1949,1634,SCL-IX (SCL-IX),SCL-IX,SCL-IX Chile,Santiago,South America,2017-02-11T06:03:38Z,20161028,0000-00-00,2019-06-17T09:11:39Z,https://www.sclix.cl,,
CL,805,2026,1916,PIT Osorno - PIT Chile,PIT Chile Osorno,PIT Osorno - PIT Chile,Osorno,South America,2017-09-15T18:31:09Z,0,0000-00-00,2019-06-19T01:43:39Z,http://www.pitosorno.cl,,
CL,803,2025,1991,PIT Arica - PIT Chile,PIT Chile Arica,PIT Arica - PIT Chile,Arica,South America,2017-11-02T11:01:16Z,20180000,0000-00-00,2019-06-19T01:38:59Z,http://www.pitarica.cl,,
